Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"fclose",1,56.01,56.01,7.93,7.93,"MSVCR120.dll",
"_localtime64",1,13.23,13.23,1.87,1.87,"MSVCR120.dll",
"printf",5,6.32,6.32,0.18,0.18,"MSVCR120.dll",
"mainCRTStartup",1,99.03,4.35,14.02,0.62,"vsc.exe",
"fopen",1,2.96,2.96,0.42,0.42,"MSVCR120.dll",
"malloc",213,1.75,1.75,0.00,0.00,"MSVCR120.dll",
"??2@YAPAXI@Z",374,1.65,1.65,0.00,0.00,"MSVCR120.dll",
"fopen_s",1,1.56,1.56,0.22,0.22,"MSVCR120.dll",
"_stricmp","1,877",1.53,1.53,0.00,0.00,"MSVCR120.dll",
"Compiler::PreprocessSourceFile",1,1.98,1.23,0.28,0.17,"vsc.exe",
"Lexer::CopyLexerState",585,1.17,1.17,0.00,0.00,"vsc.exe",
"fprintf",248,1.13,1.13,0.00,0.00,"MSVCR120.dll",
"Lexer::GetNextToken",258,1.72,1.04,0.00,0.00,"vsc.exe",
"Parser::ParseStatement",26,6.98,0.76,0.12,0.00,"vsc.exe",
"fgets",49,0.66,0.66,0.00,0.00,"MSVCR120.dll",
"main",1,93.47,0.46,13.23,0.06,"vsc.exe",
"__CxxSetUnhandledExceptionFilter",1,0.41,0.41,0.06,0.06,"vsc.exe",
"Parser::ParseVar",1,0.43,0.39,0.06,0.06,"vsc.exe",
"Parser::ParseSourceCode",1,7.39,0.28,1.05,0.04,"vsc.exe",
"__getmainargs",1,0.25,0.25,0.04,0.04,"MSVCR120.dll",
"Lexer::GetLookAheadChar",117,1.07,0.24,0.00,0.00,"vsc.exe",
"Parser::ParseCase",4,1.46,0.19,0.05,0.01,"vsc.exe",
"Parser::ParseFactor",21,1.44,0.19,0.01,0.00,"vsc.exe",
"__tmainCRTStartup",1,94.68,0.18,13.40,0.03,"vsc.exe",
"exit",1,0.16,0.16,0.02,0.02,"MSVCR120.dll",
"Compiler::GetNextToken",49,0.29,0.15,0.00,0.00,"vsc.exe",
"Parser::ParseHost",7,0.33,0.14,0.01,0.00,"vsc.exe",
"strcpy_s",115,0.13,0.13,0.00,0.00,"MSVCR120.dll",
"Parser::ParseFuncCall",14,2.92,0.13,0.03,0.00,"vsc.exe",
"Compiler::ReadCmmndLineParams",1,0.13,0.13,0.02,0.02,"vsc.exe",
"__isa_available_init",1,0.12,0.12,0.02,0.02,"vsc.exe",
"Parser::ParseSwitchStatement",10,2.44,0.09,0.03,0.00,"vsc.exe",
"ICodeStream<ICodeNode>::GetICodeNodeByImpIndex",100,0.09,0.09,0.00,0.00,"vsc.exe",
"atoi",1,0.07,0.07,0.01,0.01,"MSVCR120.dll",
"Parser::ParseDefault",1,0.82,0.07,0.12,0.01,"vsc.exe",
"ICodeStream<ICodeNode>::AddICodeInstr",41,0.20,0.05,0.00,0.00,"vsc.exe",
"Parser::ParseExpr",21,2.81,0.05,0.02,0.00,"vsc.exe",
"_strupr",3,0.04,0.04,0.00,0.00,"MSVCR120.dll",
"feof",50,0.04,0.04,0.00,0.00,"MSVCR120.dll",
"strnlen",34,0.04,0.04,0.00,0.00,"MSVCR120.dll",
"DList<OpList>::Append",42,0.23,0.04,0.00,0.00,"vsc.exe",
"Parser::ParseSubExpr",21,1.64,0.04,0.01,0.00,"vsc.exe",
